CUST_KEY,JOBPARTCHARGE,JOBLABOURCHARGE,MODEL_NEW,YEAR,AVG_MILE
100-WEPPK7S57EV085022,29.916842105263157,48.36842105263158,328,2011,7391.100877192982
10019-5QKVP935K6LE83847,53.06666666666666,70.13333333333334,X5,2006,18954.134920634922
10020-WEKPS9S44PWJ39347,442.19666666666666,119.39999999999999,X3,2010,14325.75
10020-WEKPS9S47PWJ39715,60.26,55.575,X3,2010,13117.5
10020-WEKYJ5S30JEV70612,29.684285714285714,20.935714285714287,X2,2018,13188.142857142857
10021-WMWRE33433TD59516,52.0,55.0,COOPER S 6SPD,2003,10231.454545454546
10029-WEP3S3S56DV979360,92.23526315789474,60.768421052631574,320,2013,13646.46754385965
10029-WEP8E7S30HP182684,318.0883333333333,162.0,340,2017,5664.435185185185
10029-WEPKE3S54EE444648,42.971428571428575,73.56428571428572,328,2011,16407.22619047619
10057-5QKKS4S52G0N14524,529.2833333333334,133.86666666666665,X5,2016,12962.5
10057-5QKVE8S52PL312336,150.05,149.0,X5,2010,8214.833333333334
10077-5QKWK5S51SL722184,110.88857142857144,35.34285714285714,X3,2012,4311.571428571428
10077-5QKWK9S55V0D60165,16.984,52.31,X3,2015,4633.280000000001
10078-5QKVE43538L000822,132.65571428571428,155.71428571428572,X5,2008,15674.62146980004
10078-WEPPG73559P401008,33.606,56.71,323,2009,20630.0
10085-5QKZW0S53S0E89987,198.89528301886793,125.3933962264151,X5,2012,14773.030817610063
10085-WEPEQ33445PR19277,102.625,125.3,3 SERIES,2005,6273.849350649351
10085-WEY1Z4S56VV502319,0.0,144.975,i3,2015,8869.708333333332
10086-5QKVE83538LZ98980,124.00888888888888,149.67777777777778,X5,2008,12141.388888888889
10094-WEKPP73455WP78142,134.5057142857143,162.74285714285716,X3,2005,11315.218537414967
10094-WEPPG7G54ENM68322,151.59071428571428,77.19285714285715,323,2011,9551.638095238095
10097-WEPNP73594E811273,64.5,45.6,530,2004,9635.125
10109-WEP3E3S51DV533930,23.57125,34.14375,328,2013,16756.375
10109-WEPPK7S56EP820022,58.237,72.81,328,2011,32399.36666666666
10112-WEPEN53491JQ20130,169.17,238.79999999999998,3 SERIES E46,2001,11042.666666666666
10116-WEPKV3S59SE974998,132.91208333333333,63.21458333333334,328,2012,8637.71351686508
10116-WEPWE73597PV83445,108.476,128.91,335,2007,9929.057142857142
10121-WEKPS9S42PWJ31411,58.6,140.0,X3,2010,19715.0
10121-WEPNV9S53PS390561,138.75333333333333,72.23333333333333,535,2010,22433.5
10135-WEKPP73495WS45327,102.22749999999999,73.575,X3,2005,12953.555555555555
10140-5QKVE535K5LV16430,1152.5,216.7,X5,2005,17197.14285714286
10146-WMWRH33515TV83600,49.38666666666666,58.666666666666664,COOPER S CONVERT,2005,3857.4367484367485
10148-WMWMM3S5KPTP75496,289.2396551724138,181.0655172413793,COOPER CLUBMAN,2010,11883.604022988506
10154-WEKPP73464WP77161,45.800000000000004,17.573333333333334,X3,2004,6944.444444444444
10156-5QKZV4S54SL756679,889.2,288.0,X5,2012,8873.833333333332
10156-WEPNN73546SN00447,0.0,298.0,530,2006,17776.11111111111
10156-WEPNV73587SQ22320,8.27,49.25,530,2007,14474.166666666666
10158-WEPQP7S52EVM54332,66.42454545454547,107.26363636363637,135,2011,12615.811616161616
